,count,mean,std,min,25%,50%,75%,max,missing_count,missing_percent,skew
is_canceled,87230.0,0.2752378768772211,0.4466366251062199,0.0,0.0,0.0,1.0,1.0,0,0.0,1.0064883349372309
lead_time,87230.0,79.97101914478964,86.05868316840485,0.0,11.0,49.0,125.0,737.0,0,0.0,1.4307521377858154
arrival_date_year,87230.0,2016.210351943139,0.6860637823534028,2015.0,2016.0,2016.0,2017.0,2017.0,0,0.0,-0.29723613102162394
arrival_date_week_number,87230.0,26.835091138369826,13.669215651757149,1.0,16.0,27.0,37.0,53.0,0,0.0,0.022395503670996506
arrival_date_day_of_month,87230.0,15.815831709274333,8.835545390948889,1.0,8.0,16.0,23.0,31.0,0,0.0,0.00029191230295063205
stays_in_weekend_nights,87230.0,1.0046085062478505,1.027408425272539,0.0,0.0,1.0,2.0,19.0,0,0.0,1.3403187451780874
stays_in_week_nights,87230.0,2.623925255072796,2.039830452717407,0.0,1.0,2.0,4.0,50.0,0,0.0,2.5754508505375764
adults,87230.0,1.8793648973976842,0.6217239565603968,0.0,2.0,2.0,2.0,55.0,0,0.0,20.394516191537434
children,87226.0,0.13890353793593654,0.4562743028387541,0.0,0.0,0.0,0.0,10.0,4,0.0,3.4595139904036825
babies,87230.0,0.010844892812105928,0.11370359244376352,0.0,0.0,0.0,0.0,10.0,0,0.0,21.128431622840147
is_repeated_guest,87230.0,0.03856471397455004,0.19255623040990374,0.0,0.0,0.0,0.0,1.0,0,0.0,4.792842745457015
previous_cancellations,87230.0,0.030402384500745158,0.3693444606853325,0.0,0.0,0.0,0.0,26.0,0,0.0,34.32965126170644
previous_bookings_not_canceled,87230.0,0.184053651266766,1.7330334804975547,0.0,0.0,0.0,0.0,72.0,0,0.0,20.4557552173276
booking_changes,87230.0,0.268497076693798,0.7106325923077134,0.0,0.0,0.0,0.0,18.0,0,0.0,5.069102771059328
days_in_waiting_list,87230.0,0.7462914135045282,10.00100086432976,0.0,0.0,0.0,0.0,391.0,0,0.0,19.467253873724896
adr,87229.0,106.51932499512776,54.89021053005237,0.0,72.25,98.2,134.1,5400.0,1,0.0,11.018647503110715
required_car_parking_spaces,87230.0,0.08430585807634988,0.2816586298321364,0.0,0.0,0.0,0.0,8.0,0,0.0,3.48866525278561
total_of_special_requests,87230.0,0.6989338530322137,0.832050936094394,0.0,0.0,0.0,1.0,5.0,0,0.0,1.0823970938875336
arrival_month_num,87230.0,6.474905422446406,3.096477191556601,1.0,4.0,7.0,9.0,12.0,0,0.0,-0.00017688109735307546
total_nights,87230.0,3.6285337613206465,2.7429479853770555,0.0,2.0,3.0,5.0,69.0,0,0.0,2.947273811732886
total_guests,87230.0,2.0291069586151553,0.7901413186245096,1.0,2.0,2.0,2.0,55.0,0,0.0,10.535667941698959
is_family,87230.0,0.10435629943826664,0.30572395017070686,0.0,0.0,0.0,0.0,1.0,0,0.0,2.5883007976624217
room_type_changed,87230.0,0.14891665711337843,0.3560083416302056,0.0,0.0,0.0,0.0,1.0,0,0.0,1.9723773384881236
previous_total_bookings,87230.0,0.21445603576751118,1.9082317209648463,0.0,0.0,0.0,0.0,78.0,0,0.0,20.068852160419368
lead_time_per_night,86639.0,26.01187959871965,36.94516204843341,0.0,4.4,14.9,33.0,629.0,591,0.68,4.217542631622253
