mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_estimators,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__max_features,param_classifier__max_depth,param_classifier__class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
708.2941569328308,4.959701007237763,2.3105600357055662,0.1396982040074516,500,5,2,0.5,,balanced_subsample,"{'classifier__n_estimators': 500, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 0.5, 'classifier__max_depth': None, 'classifier__class_weight': 'balanced_subsample'}",0.8992138473066761,0.8954218027403855,0.8960481402960181,0.8983456774938288,0.8979487906775803,0.8973956517028977,0.0014301198341976232,1
312.47724108695985,6.737273933916311,1.0111376285552978,0.1475857130516614,300,20,2,0.5,24,balanced_subsample,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 0.5, 'classifier__max_depth': 24, 'classifier__class_weight': 'balanced_subsample'}",0.8992369585446158,0.8948960606817722,0.8943772719915661,0.8974387335851143,0.8965286989261607,0.8964955447458458,0.0017579239309497257,2
494.17545952796934,5.040370842537677,1.4336447715759277,0.09116413606336136,300,2,1,0.5,,balanced,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 0.5, 'classifier__max_depth': None, 'classifier__class_weight': 'balanced'}",0.898799929667716,0.8934996709350909,0.8945375835363389,0.8970007717083831,0.8967263221198858,0.896112855593483,0.0018812399846593886,3
495.15270056724546,1.6819673626336902,2.2883620262145996,0.24764740590929626,500,2,8,0.5,24,balanced_subsample,"{'classifier__n_estimators': 500, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 8, 'classifier__max_features': 0.5, 'classifier__max_depth': 24, 'classifier__class_weight': 'balanced_subsample'}",0.8975007589648183,0.8935150484013148,0.8935780430309123,0.8966025274671829,0.89531700209373,0.8953026759915916,0.0015931954747342837,4
783.8504723072052,5.279624310422958,1.8014429092407227,0.12809695377205582,400,5,2,0.8,,,"{'classifier__n_estimators': 400, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 0.8, 'classifier__max_depth': None, 'classifier__class_weight': None}",0.8968644149629464,0.8929033340817464,0.8928562808287722,0.8960059009058503,0.897022628216026,0.8951305117990682,0.0018700415982586627,5
202.88031120300292,5.635826861702188,1.0446962356567382,0.19432933751033982,200,20,8,0.5,,balanced_subsample,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 8, 'classifier__max_features': 0.5, 'classifier__max_depth': None, 'classifier__class_weight': 'balanced_subsample'}",0.8969161707530322,0.8927749869285102,0.8932360493574285,0.896177110033161,0.8949984704664903,0.8948205575077244,0.0016098762512675089,6
382.4414034843445,47.079992045496766,0.8525179386138916,0.2516211921058269,500,10,8,0.5,24,,"{'classifier__n_estimators': 500, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 8, 'classifier__max_features': 0.5, 'classifier__max_depth': 24, 'classifier__class_weight': None}",0.8973752556777208,0.8932461808035898,0.8929797181450283,0.8955433390553147,0.8945998136761788,0.8947488614715663,0.00160868105616091,7
442.9067213535309,14.80698557375645,1.4696296215057374,0.2494892411463783,500,20,8,0.5,,,"{'classifier__n_estimators': 500, 'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 8, 'classifier__max_features': 0.5, 'classifier__max_depth': None, 'classifier__class_weight': None}",0.8969335170496595,0.8930880566990215,0.892451462012983,0.8954026997699285,0.8945390184191354,0.8944829507901455,0.0016079199566079708,8
326.82225117683413,2.3754280881546608,0.9227911949157714,0.09059767062394174,400,2,2,0.8,12,,"{'classifier__n_estimators': 400, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 0.8, 'classifier__max_depth': 12, 'classifier__class_weight': None}",0.8933710278138859,0.889432710729966,0.888435078842144,0.8913793045772678,0.8917272506503253,0.8908690745227179,0.0017460840279853978,9
164.8790289878845,0.9966125447695172,0.6397465705871582,0.11820374415789721,300,5,2,0.5,12,balanced,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 0.5, 'classifier__max_depth': 12, 'classifier__class_weight': 'balanced'}",0.8909805846041683,0.8877878623072593,0.8865399159020562,0.8894794969768536,0.8891349197841074,0.8887845559148889,0.0015139383646170053,10
